Country,Amount/square miles,Date
Russia,6600000.00 ,2013
Canada,3800000.00 ,2013
United States,3800000.00 ,2013
China,3700000.00 ,2013
Brazil,3300000.00 ,2013
Australia,2900000.00 ,2013
India,1240000.00 ,2013
Argentina,1100000.00 ,2013
Kazakhstan,1000000.00 ,2013
Algeria,919595.00 ,2013
Democratic Republic of the Congo,905354.00 ,2013
Saudi Arabia,864869.00 ,2013
Mexico,758449.00 ,2013
Indonesia,742308.00 ,2013
Sudan,728215.00 ,2013
Libya,685524.00 ,2013
Iran,636313.00 ,2013
Mongolia,603909.00 ,2013
Peru,496225.00 ,2013
Chad,495800.00 ,2013
Niger,489000.00 ,2013
Mali,482077.00 ,2013
Angola,481354.00 ,2013
South Africa,470693.00 ,2013
Colombia,440831.00 ,2013
Ethiopia,437794.00 ,2013
Bolivia,424164.00 ,2013
Mauritania,398000.00 ,2013
Egypt,386874.00 ,2013
Tanzania,364900.00 ,2013
Nigeria,356669.00 ,2013
Venezuela,340561.00 ,2013
Pakistan,339697.00 ,2013
Namibia,318261.00 ,2013
Mozambique,313661.00 ,2013
Turkey,300948.00 ,2013
Chile,291930.00 ,2013
Zambia,290586.00 ,2013
Morocco,274461.00 ,2013
Burma,261218.00 ,2013
Afghanistan,251773.00 ,2013
Somalia,246201.00 ,2013
South Sudan,239285.00 ,2011
Ukraine,233090.00 ,2013
Madagascar,226658.00 ,2013
Kenya,224961.00 ,2013
Botswana,224607.00 ,2013
France,210026.00 ,2013
Yemen,207286.00 ,2013
Thailand,198115.00 ,2013
Spain,195363.00 ,2013
Turkmenistan,188456.00 ,2013
Cameroon,183568.00 ,2013
Papua New Guinea,178704.00 ,2013
Sweden,173732.00 ,2013
Uzbekistan,172700.00 ,2013
Iraq,169235.00 ,2013
Paraguay,157048.00 ,2013
Zimbabwe,150873.00 ,2013
Romania,148129.00 ,2013
Japan,145894.00 ,2013
Germany,137849.00 ,2013
Finland,130559.00 ,2013
Malaysia,127355.00 ,2013
Vietnam,127123.00 ,2013
Norway,125004.00 ,2013
Cote d'Ivoire,124503.00 ,2013
Poland,120728.00 ,2013
Oman,119500.00 ,2013
Italy,116346.00 ,2012
Philippines,115831.00 ,2013
Burkina Faso,105870.00 ,2013
Ecuador,105037.00 ,2013
New Zealand,104454.00 ,2013
Gabon,103347.00 ,2013
Guinea,94926.00 ,2013
United Kingdom,93638.00 ,2013
Uganda,93072.00 ,2013
Ghana,92098.00 ,2013
Laos,91400.00 ,2013
Guyana,83000.00 ,2013
Belarus,80153.00 ,2013
Kyrgyzstan,77182.00 ,2013
Senegal,75955.00 ,2013
Syria,71498.00 ,2013
Cambodia,69898.00 ,2013
Uruguay,68037.00 ,2013
Tunisia,63378.00 ,2013
Suriname,63037.00 ,2013
Bangladesh,55598.00 ,2013
Tajikistan,55251.00 ,2013
Greece,50949.00 ,2013
North Korea,47399.00 ,2013
Nicaragua,46430.00 ,2013
Malawi,45747.00 ,2013
Eritrea,45300.00 ,2012
Benin,43484.00 ,2013
Honduras,43433.00 ,2013
Bulgaria,42855.00 ,2013
Cuba,42803.00 ,2013
Iceland,39769.00 ,2013
South Korea,38345.00 ,2013
Liberia,38250.00 ,2013
Hungary,35919.00 ,2013
Portugal,35655.00 ,2013
Jordan,34492.00 ,2013
Serbia,34116.00 ,2013
Azerbaijan,33400.00 ,2013
Austria,32383.00 ,2013
Czech Republic,30450.00 ,2013
United Arab Emirates,30000.00 ,2013
Panama,29157.00 ,2013
Sierra Leone,27699.00 ,2013
Ireland,27097.00 ,2013
Georgia,26911.00 ,2013
Sri Lanka,25332.00 ,2013
Lithuania,25212.00 ,2013
Latvia,24938.00 ,2014
Togo,21925.00 ,2013
Croatia,21851.00 ,2013
Costa Rica,19730.00 ,2013
Slovakia,18932.00 ,2013
Estonia,17462.00 ,2013
Denmark,16640.00 ,2013
Netherlands,16164.00 ,2013
Switzerland,15940.00 ,2013
Bhutan,14812.00 ,2013
Taiwan,13972.00 ,2013
Guinea-Bissau,13948.00 ,2013
Moldova,13050.00 ,2013
Belgium,11787.00 ,2013
Lesotho,11720.00 ,2013
Armenia,11484.00 ,2013
Equatorial Guinea,10830.00 ,2013
Burundi,10740.00 ,2013
Haiti,10714.00 ,2013
Solomon Islands,10639.00 ,2013
Rwanda,10169.00 ,2013
Republic of Macedonia,9928.00 ,2013
Djibouti,8950.00 ,2013
Belize,8867.00 ,2013
Israel,8522.00 ,2013
El Salvador,8124.00 ,2013
Slovenia,7827.00 ,2013
New Caledonia,7172.00 ,2013
Fiji,7095.00 ,2013
Kuwait,6880.00 ,2013
Swaziland,6704.00 ,2013
East Timor,5641.00 ,2013
The Bahamas,5382.00 ,2013
Montenegro,5333.00 ,2013
Vanuatu,4707.00 ,2012
Qatar,4416.00 ,2013
Gambia,4361.00 ,2013
Jamaica,4243.00 ,2013
Lebanon,4036.00 ,2013
Cyprus,3572.00 ,2012
Puerto Rico,3459.00 ,2013
Brunei,2226.00 ,2013
Trinidad and Tobago,1980.00 ,2013
French Polynesia,1609.00 ,2013
Cape Verde,1557.00 ,2013
Samoa,1093.00 ,2013
Luxembourg,999.00 ,2013
Mauritius,788.00 ,2013
Comoros,719.00 ,2013
Hong Kong,424.00 ,2013
Sao Tome and Principe,386.00 ,2013
Kiribati,313.00 ,2013
Dominica,290.00 ,2013
Tonga,289.00 ,2013
Bahrain,277.00 ,2013
Federated States of Micronesia,270.00 ,2013
Singapore,255.00 ,2013
Guam,209.00 ,2013
Palau,196.00 ,2013
Seychelles,176.00 ,2013
Antigua and Barbuda,170.00 ,2013
Barbados,166.00 ,2013
Grenada,133.00 ,2013
Malta,122.00 ,2013
Saint Kitts and Nevis,104.00 ,2013
Niue,100.00 ,2013
Cook Islands,91.00 ,2013
Marshall Islands,70.00 ,2013
Liechtenstein,61.80 ,2013
San Marino,23.60 ,2013
Tuvalu,10.00 ,2013
Macau,9.00 ,2013
Nauru,8.00 ,2013
Tokelau,4.70 ,2013
Monaco,0.75 ,2013
